L D BC: Unchecked/unconfirmed cast from it.unibo.jetpackjoyride.core.entities.entity.api.Entity to it.unibo.jetpackjoyride.core.entities.obstacle.api.Obstacle in it.unibo.jetpackjoyride.utilities.EntityImageLoader.loadImages(Entity)  At EntityImageLoader.java:[line 64]
L D BC: Unchecked/unconfirmed cast from it.unibo.jetpackjoyride.core.entities.entity.api.Entity to it.unibo.jetpackjoyride.core.entities.pickups.api.PickUp in it.unibo.jetpackjoyride.utilities.EntityImageLoader.loadImages(Entity)  At EntityImageLoader.java:[line 92]
L D BC: Unchecked/unconfirmed cast from it.unibo.jetpackjoyride.core.entities.entity.api.Entity to it.unibo.jetpackjoyride.core.entities.powerup.api.PowerUp in it.unibo.jetpackjoyride.utilities.EntityImageLoader.loadImages(Entity)  At EntityImageLoader.java:[line 77]
M V EI: it.unibo.jetpackjoyride.core.handler.player.BarryView.getImageView() may expose internal representation by returning BarryView.imageView  At BarryView.java:[line 132]
M D DLS: Dead store to im in it.unibo.jetpackjoyride.core.handler.player.BarryView.getImageView()  At BarryView.java:[line 130]
L D BC: Unchecked/unconfirmed cast from it.unibo.jetpackjoyride.core.entities.entity.api.Entity to it.unibo.jetpackjoyride.core.entities.barry.api.Barry in it.unibo.jetpackjoyride.core.handler.player.BarryView.updateView(Entity)  At BarryView.java:[line 83]
M V EI: it.unibo.jetpackjoyride.core.handler.powerup.PowerUpHandler.getAllPowerUps() may expose internal representation by returning PowerUpHandler.listOfPowerUp  At PowerUpHandler.java:[line 40]
H D INT: Integer remainder modulo 1 computed in it.unibo.jetpackjoyride.core.handler.powerup.PowerUpView.animateFrames(Entity)  At PowerUpView.java:[line 126]
H D REC: Exception is caught when Exception is not thrown in it.unibo.jetpackjoyride.core.handler.obstacle.ObstacleLoader.readFromFile()  At ObstacleLoader.java:[line 170]
L D REC: Exception is caught when Exception is not thrown in new it.unibo.jetpackjoyride.core.handler.obstacle.ObstacleLoader()  At ObstacleLoader.java:[line 70]
M D ICAST: Integral division result cast to double or float in it.unibo.jetpackjoyride.core.handler.obstacle.ObstacleLoader.randomBasedObstacleGeneration()  At ObstacleLoader.java:[line 92]
M V EI2: new it.unibo.jetpackjoyride.menu.shop.impl.ShopControllerImpl(Stage, GameMenu) may expose internal representation by storing an externally mutable object into ShopControllerImpl.gameMenu  At ShopControllerImpl.java:[line 55]
M D RV: Return value of Throwable.getStackTrace() ignored, but method has no side effect  At ShopControllerImpl.java:[line 126]
M P Bx: Boxed value is unboxed and then immediately reboxed in it.unibo.jetpackjoyride.core.entities.powerup.impl.ProfitBird.updateStatus(boolean)  At ProfitBird.java:[line 59]
M V EI: it.unibo.jetpackjoyride.core.handler.obstacle.ObstacleHandler.getAllObstacles() may expose internal representation by returning ObstacleHandler.listOfObstacles  At ObstacleHandler.java:[line 77]
H B RC: Suspicious comparison of a Integer reference to constant in it.unibo.jetpackjoyride.core.entities.powerup.impl.LilStomper.updateStatus(boolean)  At LilStomper.java:[line 35]
M B RC: Suspicious comparison of a Integer reference to constant in it.unibo.jetpackjoyride.core.entities.pickups.impl.VehiclePickUp.updateStatus(boolean)  At VehiclePickUp.java:[line 48]
M V EI: it.unibo.jetpackjoyride.core.entities.powerup.impl.MrCuddlesGenerator.generateMrCuddle() may expose internal representation by returning MrCuddlesGenerator.mrCuddles  At MrCuddlesGenerator.java:[line 36]
M V EI: it.unibo.jetpackjoyride.core.handler.pickup.PickUpHandler.getAllPickUps() may expose internal representation by returning PickUpHandler.listOfPickUp  At PickUpHandler.java:[line 88]
M V EI: it.unibo.jetpackjoyride.core.handler.entity.EntityHandler.getAllEntities() may expose internal representation by returning EntityHandler.listOfEntities  At EntityHandler.java:[line 122]
L D REC: Exception is caught when Exception is not thrown in it.unibo.jetpackjoyride.core.handler.entity.EntityController.viewImagesLoader(Entity)  At EntityController.java:[line 82]
M V EI2: new it.unibo.jetpackjoyride.core.GameLoop(Stage, ShopController) may expose internal representation by storing an externally mutable object into GameLoop.stage  At GameLoop.java:[line 56]
L P UM: Method calls static Math class method on a constant value  At GameLoop.java:[line 41]
